id,exam_score
630000,71.1
630001,69.2
630002,88.1
630003,56.2
630004,47.5
630005,71.4
630006,72.3
630007,59.5
630008,78.3
630009,90.6
630010,58.3
630011,37.0
630012,53.6
630013,61.2
630014,60.8
630015,65.9
630016,74.1
630017,77.1
630018,63.2
630019,74.7
630020,53.0
630021,68.5
630022,43.2
630023,48.4
630024,53.6
630025,54.7
630026,59.6
630027,43.1
630028,79.8
630029,96.8
630030,92.0
630031,55.3
630032,79.9
630033,56.2
630034,45.6
630035,51.2
630036,51.5
630037,65.7
630038,31.0
630039,45.4
630040,34.8
630041,75.4
630042,60.5
630043,65.4
630044,57.8
630045,83.9
630046,85.7
630047,56.3
630048,80.9
630049,97.7
630050,72.1
630051,28.2
630052,83.3
630053,75.6
630054,64.6
630055,39.3
630056,42.8
630057,74.0
630058,39.9
630059,77.8
630060,60.7
630061,31.3
630062,40.4
630063,35.2
630064,67.1
630065,46.1
630066,69.7
630067,46.2
630068,87.6
630069,90.1
630070,77.3
630071,63.4
630072,71.5
630073,75.2
630074,73.0
630075,77.8
630076,93.0
630077,37.4
630078,70.6
630079,48.5
630080,91.7
630081,83.8
630082,34.6
630083,49.3
630084,77.4
630085,93.0
630086,70.7
630087,70.3
630088,75.0
630089,78.8
630090,78.1
630091,75.5
630092,63.2
630093,48.5
630094,48.2
630095,75.2
630096,71.4
630097,68.1
630098,80.8
630099,81.7
630100,74.2
630101,30.9
630102,38.4
630103,59.6
630104,69.8
630105,36.3
630106,48.0
630107,69.8
630108,33.0
630109,94.2
630110,52.7
630111,81.1
630112,88.2
630113,76.8
630114,68.7
630115,53.8
630116,58.5
630117,74.7
630118,58.9
630119,83.1
630120,45.2
630121,58.1
630122,38.6
630123,47.3
630124,78.5
630125,65.1
630126,35.3
630127,53.1
630128,66.1
630129,85.9
630130,45.7
630131,58.8
630132,51.0
630133,75.3
630134,46.1
630135,94.3
630136,56.6
630137,34.7
630138,74.8
630139,53.7
630140,34.6
630141,47.9
630142,39.3
630143,51.2
