id,exam_score
630000,71.9
630001,67.2
630002,87.5
630003,54.4
630004,46.8
630005,72.6
630006,73.3
630007,58.3
630008,78.0
630009,92.6
630010,60.7
630011,37.1
630012,53.7
630013,59.8
630014,60.0
630015,63.8
630016,73.1
630017,76.1
630018,63.7
630019,73.9
630020,51.9
630021,66.3
630022,46.3
630023,46.9
630024,54.1
630025,55.3
630026,59.2
630027,40.8
630028,79.9
630029,96.4
630030,90.7
630031,53.6
630032,77.0
630033,57.4
630034,46.4
630035,53.1
630036,49.0
630037,65.5
630038,25.8
630039,44.4
630040,35.6
630041,74.2
630042,61.5
630043,66.2
630044,56.6
630045,85.1
630046,86.2
630047,54.7
630048,83.1
630049,97.5
630050,71.3
630051,28.9
630052,82.8
630053,75.3
630054,67.2
630055,40.0
630056,43.0
630057,73.8
630058,35.4
630059,77.7
630060,61.5
630061,31.5
630062,38.6
630063,36.9
630064,66.9
630065,45.4
630066,69.1
630067,46.1
630068,85.9
630069,90.3
630070,78.4
630071,63.5
630072,72.2
630073,75.0
630074,71.9
630075,76.0
630076,93.2
630077,35.5
630078,71.4
630079,49.7
630080,92.1
630081,83.4
630082,36.1
630083,49.6
630084,77.5
630085,92.4
630086,69.5
630087,69.4
630088,75.2
630089,79.0
630090,79.4
630091,74.3
630092,64.1
630093,49.3
630094,47.3
630095,74.6
630096,70.5
630097,64.5
630098,80.7
630099,83.9
630100,74.7
630101,29.9
630102,37.5
630103,59.7
630104,70.4
630105,38.4
630106,47.3
630107,68.9
630108,35.7
630109,96.7
630110,51.8
630111,79.3
630112,87.6
630113,73.2
630114,72.3
630115,54.2
630116,59.7
630117,73.1
630118,58.8
630119,85.0
630120,44.6
630121,56.1
630122,39.4
630123,47.5
630124,79.0
630125,63.1
630126,35.8
630127,53.8
630128,65.3
630129,84.9
630130,46.4
630131,59.1
630132,49.9
630133,75.9
630134,46.9
630135,90.7
630136,56.6
630137,37.9
630138,75.5
630139,55.8
630140,33.2
630141,46.3
630142,37.1
630143,51.3
630144,76.6
630145,74.3
630146,66.8
630147,75.0
630148,43.3
630149,75.5
630150,55.9
630151,68.6
630152,60.9
630153,40.1
630154,60.0
630155,27.0
630156,71.3
630157,48.7
630158,76.1
630159,58.7
630160,64.1
630161,76.0
630162,53.1
630163,66.3
630164,36.9
630165,71.5
630166,63.3
630167,53.9
630168,72.8
630169,85.9
630170,60.8
630171,57.2
630172,46.4
630173,73.3
630174,43.4
630175,90.4
630176,89.9
630177,66.7
630178,79.7
630179,24.1
630180,51.0
630181,45.2
630182,56.8
630183,64.9
630184,36.2
630185,71.2
630186,88.5
630187,52.7
630188,67.7
630189,69.8
630190,40.6
630191,62.6
630192,82.2
630193,91.9
630194,35.9
630195,62.4
630196,71.7
630197,38.2
630198,89.7
630199,89.3
630200,48.2
630201,51.5
630202,55.0
630203,39.8
630204,54.5
630205,71.5
630206,63.5
630207,82.7
630208,75.2
630209,48.2
630210,56.9
630211,72.5
630212,80.9
630213,81.8
630214,50.6
630215,39.7
630216,83.1
630217,49.7
630218,76.2
630219,55.5
